Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-28 14:30:00+00:00,277.50048828125,231.21499633789062,324.0649108886719,637.27001953125,106.83999633789062,277.54998779296875,231.21499633789062,324.1499938964844,637.27001953125,106.87999725341797,276.8599853515625,231.21499633789062,322.7799987792969,637.27001953125,106.3499984741211,277.260009765625,231.21499633789062,323.25,637.27001953125,106.5,1112644,1314208,1064058,329246,885448
2025-11-28 14:31:00+00:00,278.0400085449219,230.36070251464844,326.0419921875,636.0,106.7699966430664,278.1499938964844,231.42999267578125,326.07000732421875,637.6400146484375,106.98999786376953,277.5,230.33619689941406,324.0,635.9199829101562,106.66000366210938,277.510009765625,231.2100067138672,324.0,637.2899780273438,106.80999755859375,155757,157175,320312,46737,90028
2025-11-28 14:32:00+00:00,277.8500061035156,230.86000061035156,325.5799865722656,636.4099731445312,106.40499877929688,278.23919677734375,230.9600067138672,326.2099914550781,636.7999877929688,106.864501953125,277.8399963378906,230.22999572753906,325.5000915527344,636.0,106.30999755859375,278.0474853515625,230.3134002685547,326.0199890136719,636.1300048828125,106.79000091552734,72598,112666,188908,30816,58222
2025-11-28 14:33:00+00:00,277.239990234375,231.11000061035156,326.3583068847656,636.1900024414062,106.62999725341797,277.9389953613281,231.1699981689453,326.3699951171875,636.52001953125,106.66329956054688,277.1300048828125,230.76620483398438,325.3699951171875,635.5,106.4000015258789,277.9316101074219,230.81500244140625,325.57598876953125,636.3699951171875,106.41000366210938,78181,113050,179897,31157,40631
2025-11-28 14:34:00+00:00,277.1099853515625,230.94000244140625,326.1000061035156,636.7100219726562,106.87000274658203,277.2698974609375,231.1300048828125,326.8800048828125,637.0599975585938,106.91999816894531,277.04998779296875,230.49000549316406,326.04998779296875,636.0601196289062,106.58999633789062,277.1919860839844,231.1199951171875,326.32000732421875,636.2050170898438,106.63999938964844,41325,93413,176006,21109,53876
2025-11-28 14:35:00+00:00,277.0899963378906,231.05999755859375,326.7099914550781,638.1099853515625,107.04000091552734,277.5899963378906,231.24000549316406,326.75,638.2050170898438,107.08000183105469,277.04998779296875,230.9199981689453,325.57000732421875,636.780029296875,106.68000030517578,277.1217041015625,230.9300994873047,326.1944885253906,636.8599853515625,106.86000061035156,82531,106716,155641,59728,114934
2025-11-28 14:36:00+00:00,277.30999755859375,231.11000061035156,326.0899963378906,638.4199829101562,107.12999725341797,277.4200134277344,231.22999572753906,326.74359130859375,638.7000122070312,107.17990112304688,276.9849853515625,231.02999877929688,325.3429870605469,637.77001953125,106.9800033569336,277.1199951171875,231.1199951171875,326.69000244140625,637.97998046875,107.0,65918,75604,142135,61187,44355
2025-11-28 14:37:00+00:00,277.3699951171875,231.64500427246094,325.6099853515625,638.2000122070312,107.25,277.42999267578125,231.8699951171875,326.2099914550781,638.5562133789062,107.2699966430664,277.1700134277344,231.08999633789062,325.4200134277344,637.9628295898438,107.05999755859375,277.30999755859375,231.11000061035156,326.0899963378906,638.3244018554688,107.13999938964844,40455,134404,113199,26722,44918
